Variable,Class,Color
1,e,#bd0000
2,e,#bd0000
3,e,#bd0000
4,m,#552200
5,ak,#00FF00
6,oh,#000080
7,e,#bd0000
8,e,#bd0000
9,m,#552200
10,ar,#800080
11,ar,#800080
12,oh,#000080
13,e,#bd0000
14,k,#00FF00
15,e,#bd0000
16,u,#FF6600
17,m,#552200
18,m,#552200
19,ar,#800080
20,e,#bd0000
22,e,#bd0000
23,t,#532
24,oh,#000080
25,oh,#000080
26,tp,#000
27,k,#00FF00
28,oh,#000080
29,al,#233
30,tp,#000
31,e,#bd0000
32,m,#552200
33,ak,#00FF00
34,tp,#000
35,u,#FF6600
36,tp,#000
37,e,#bd0000
38,e,#bd0000
39,al,#233
40,tp,#000
41,u,#FF6600
42,u,#FF6600
43,e,#bd0000
44,e,#bd0000
45,m,#552200
46,tp,#000
47,e,#bd0000
48,ak,#00FF00
49,m,#552200
50,e,#bd0000
51,u,#FF6600
52,u,#FF6600
53,e,#bd0000
54,k,#00FF00
55,ar,#231
56,ak,#00FF00
57,m,#552200
58,u,#FF6600
59,m,#552200
60,tp,#000
61,e,#bd0000
62,e,#bd0000
63,tp,#000
64,u,#FF6600
65,u,#FF6600
66,u,#FF6600
67,al,#233
68,e,#bd0000
70,ak,#00FF00
71,ak,#00FF00
